question,context,answer
Ano ang tawag sa tamaraw noong 1979,"Noong 1979, may isang executive order ang pinirmahan upang makagawa ng isang komite para sa konserbasyon ng tamaraw. Ang tamaraw ay tinawag na ""source of national pride"" sa E.O. Ang Proyekto sa Konserbasyon ng Tamaraw ay ginawa rin noong 1979. Ang Organisasyon ay napasilang ng tamaraw na tinatawag na Kali noong 1999.","""source of national pride"" sa E.O."
Ano ang kulay ng dalawang piyesa?,"Ang mga piyesa ay nahahati sa Puti at Itim na mga piyesa. Ang bawat manlalaro ay tinatawag ayon sa kulay na kanilang napili at nag-uumpisang maglaro nang may labing-anim na piyesa. Ang mga ito'y nahahati sa isang hari, isang reyna, dalawang tore, dalawang obispo, dalawang kabalyero, at walong kawal. Nauunang tumira ang Puti.",sa Puti at Itim na mga piyesa
Saan kinakain ang kanin?,"Ang kanin ay isang pinakamahalagang pagkain sa Pilipinas. Ito ay kinakain sa almusal, tanghalian at hapunan. Minsan, ito ay kinakain kahit walang ulam.","Ito ay kinakain sa almusal, tanghalian at hapunan. Minsan, ito ay kinakain kahit walang ulam."
Magkano ang timbang ng mga babae?,Nasa pagitan ng 200 hanggang 300 kilogramo ang timbang ng mga babae. May madilim na pagkakayumanggi hanggang abuhing kulay ang mga nasa hustong gulang na mga tamaraw at mas mabuhok kaysa Bubalus bubalis. Maiikli at matipuno ang mga paa. May makikitang mga mapuputing mga marka sa mga ungguladong paa at sa loob ng mga pang-ibabang binti.,Nasa pagitan ng 200 hanggang 300 kilogramo ang timbang ng mga babae.
Anu ano ang kanilang mga karapatan?,"Mayroon silang karapatang magkaroon ng ari-arian, makilahok sa kalakalan at maaaring hiwalayan o diborsiyuhin ang asawang lalaki. Maaari rin silang maging pinuno ng nayon kung walang tagapagmanang lalaki sa katungkulan. Bago dumatingng manggagamot o mataas na babaeng pari at astrologa.","magkaroon ng ari-arian, makilahok sa kalakalan at maaaring hiwalayan o diborsiyuhin ang asawang lalaki. "
"Bakit na nalulong ang mga kabataan ngayon sa bawal na gamot,alkohol at Pagsusugal?","Dahil sa kulang ng gabay ng magulang, nakakalungkot isipin na karamihan ng mga kabataan ngayon ay nalulong sa bawal na gamot,alkohol at pagsusugal. ",Dahil sa kulang ng gabay ng magulang
Kailan nagsimula nag pagtatayo ng 31 gusali?,"Sa Mayo 2007, nakapagsimula sa pagtatayo ang mga 31 gusali ng pagdadausan sa Beijing. Namuhunan din ang pamahalaan ng Tsina sa pagsasaayos at pagtatayo ng mga anim na gusali ng pagdadausan sa labas ng Beijing gayundin ang 59 na sentro ng pagsasanay.",Sa Mayo 2007
Sino ang kampeon sa kasalukuyan?,"Si Magnus Carlsen ang Kampeon Pangsandaigdigan sa kasalukuyan. Nakagawa ng maiinam at mabalasik na mga pamamaraan (plano, estratehiya at taktika) ang mga dalubhasa tungkol sa mga sitwasyong panlabanan sa larong ahedres magmula noong isilangang ang laro.",Si Magnus Carlsen ang Kampeon Pangsandaigdigan sa kasalukuyan
Ano ang nangyayari sa ilan kapag natunaw?,Ang ilan ay parang elastiko at naglulubid kapag natunaw na mainam naman sa pizza at luto sa kuneho ng mga Welsh. Ang iba ay natutunaw ng di-pantay kung saan ang taba (grasa) ay humihiwalay.,ay parang elastiko at naglulubid
Ano ang latin na pangalan ng mas karaniwang lahi ng kalabaw?,"May anyong pangkaraniwan sa pamilyang kinabibilangan nito ang Bubalus mindorensis. May siksik, mabigat na kayarian, wangis-bakang katawan, apat na mga hitang nagtatapos sa mga unguladong paa at isang maliit, nasusungayang ulo sa hangganan ng maliit na leeg.",May anyong pangkaraniwan sa pamilyang kinabibilangan nito ang Bubalus mindorensis.
Ano ang naging resulta sa mga babaeng pilipino?,"Naging matagumpay ang mga babaeng Pilipino sa pagpapatupad ng mga patakaran sa pamamagitan ng pagiging mga kasaping tagapagpatupad, mga tagapagpayo sa mga politiko, at bilang mga tagapagtaguyod at tagapagtangkilik sa loob ng mga samahang hindi kaugnay ng pamahalaan.",Naging matagumpay ang mga babaeng Pilipino
Saan gawa ng keso?,"Ang keso ay pagkaing gawa mula sa kinultang gatas ng baka, kalabaw, kambing, tupa at iba pang mamalya. Ang pagkukulta ay mula sa paghahalo ng kuwaho at pagpapaasim ng gatas. Ang bakterya ang nagpapaasim sa gatas at nagbibigay ng lasa at anyo sa karamihan ng keso. May ilang keso ang sadyang binabalutan o pinaluluoban ng piniling amag.","gatas ng baka, kalabaw, kambing, tupa at iba pang mamalya"
Bakit marami ang may gusto sa maputing balat?,"Karamihan sa mga kayumanging balat ay hindi basta basta nasususnog,pero mas marami gustong maging maputi sa kadahilan na ang kulay puti ay mas pabor sa karamihan.",kadahilan na ang kulay puti ay mas pabor sa karamihan.
Ano ang pinagbabawal gawin sa tamaraw?,"Maraming batas sa Pilipinas ang pinatupad at mga organisasyon ay ginawa upang tumulong sa konserbasyon ng mga uri. Ang Pagpapatupad Komonwelt bilang 73 noong 1936 ay pinatupad ng Komowelt ng Pilipinas. Ang akto ay nagbabawal sa pagpatay, pagsugat o pangagaso ng tamaraw maliban na lang kung inatake o dahil sa pang-agham na pagaaral. Ang parusa ay pagkakulong at pagbayad ng mabigat na multa.","Ang akto ay nagbabawal sa pagpatay, pagsugat o pangagaso"
Bakit malala ang trapiko sa lansangan?,"Malala ang trapiko sa langasan dahil sa mga tricyles ,jeepneys, at sa walang disiplinang mga nagmamaneho.","dahil sa mga tricyles ,jeepneys, at sa walang disiplinang mga nagmamaneho."
Ilang araw ang tagal ng pagpasa ng tikhang?,"Ang pagpasa, na may tikhang Paglalakbay ng Kalawili, ay inaasahang tatagal sa loob ng 130 araw at binubuhat ang sulo 137,000 km (85,000 mi)—ang pinakamahabang layo ng anumang pagpasa ng sulong Olimpiko mula't sapul nagsimula ang nakaugalian sa Palarong Berlin 1936.", sa loob ng 130 araw
Ano ang trabaho ng mga kababaihan?,"May gampanin sa pagpapasiyang pangmag-anak ang mga pangmakabagong-panahong mga kababaihan Pilipino. Sila ang nangangasiwa ng pananalapi, gumaganap bilang mga tagapangaral na pampananampalataya, at maaari ring maghanda at makipagkasundo hinggil sa mga pagpapakasal ng mga anak na lalaki at babae, na may pagpupunyagi upang mapainam ang mga ugnayang dinastiko ng mag-anak.","nangangasiwa ng pananalapi, gumaganap bilang mga tagapangaral na pampananampalataya"
Kailan pinatungan ng opisyal na Korona?,"Siya ay opisyal na pinutungan ng korona noong 6 Nobyembre 2008, sa buwan ng lalaking Daga (tahaklaw) (lupang daga), sa maharlikang palasyo sa Thimphu (o Timpu). Ang marangyang koronasyon ay binubuo ng sinauna at makulay na rituwal, dinaluhan ng mga libong dayuhang dignitaryo, kabilang ang Pangulo ng Indiya Pratibha Patil, Sonia Gandhi, Ministro ng Ugnayang Panlabas Pranab Mukherjee at mga sikat na artistang hollywood.",ng korona noong 6 Nobyembre 2008
Bakit palaging nakatago ang tamaraw?,"Bilang isang bihira at endemikong mamalya na nasa isang pulong tila nahihiwalay at malayo, hindi gaanong malaki ang gawaing pagaaral at pagtatala hinggil sa ekolohiya ng tamaraw. Malaking dahilan nito ang katotohanang palatago at mahiyain sa tao ang mga indibidwal na kasapi ng uri.",mahiyain sa tao
Sino ang nagsapit ng Katolisismo?,"Noong kapanahunan ng pagkakolonya ng Pilipinas, inilagak ng mga Kastila ang mga Pilipina sa isang pampangalawang katayuan sa lipunan, habang niluluwalhati at itinatakda ang Birheng Maria bilang huwaran ng mga Pilipinong babae. Ang pagsapit ng mga Kastila at Katolisismo ang siya ring nagtakda ng tungkulin ng mga katutubong kababaihang Pilipino sa simbahan, sa kumbento, at sa tahanan.",Ang pagsapit ng mga Kastila
Ano pook matatagpuan ang tamaraw?,"Pagdating ng 1966, naging tatlong pook na lamang ang nasasakupan ng tamaraw: Bundok Iglit, Bundok Calavite at iba pang mga lugar na malapit sa Pamayanang Penal ng Sablayon. Noong 2000, mas lalong nabawasan ang kanilang nasasakupan sa dalawang pook: ang mga Liwasang Pambansa ng Bundok Iglit-Baco at Aruyan.","Bundok Iglit, Bundok Calavite"
Ano ang pwesto ng mga kalalakihan?,"Sa nasasakupan ng hanapbuhayan sa kalakhang kalunsuran, pangkalahatang binibigyan ng trabaho ng mga kompanya at negosyo ang mga kababaihan para sa mas murang bayad at mababang mga tungkulin. Karaniwan, kinukuha ang mga lalaki para ilagay sa puwestong propesyunal at ang mga kababaihan para sa mga posisyong pangsekretarya, bagaman magkapantay sa antas ng pinag-aralan. Hindi lamang tatanggap ng mababang sahod ang Pilipina, kundi may dagdag na mga gampaning pangkalihim.",para ilagay sa puwestong propesyunal
"Sa kasalukuyan, sino  ang nag aaral sa paaralan?","Noong mga panahong ito, puro lamang interno, mga mag-aaral na pinapag-aral ng kanilang tagapagtaguyod, at namamalagi sa SABV, ang nag-aaral dito. Hindi tulad sa kasalukuyan, halos galing lahat sa labas ang mag-aaral ng paaralan.",halos galing lahat sa labas
Ano ang timbang ng bawat isa keso mula Liguria?,"Tumitimbang ng libong libra bawat isa ang mga kesong mula sa Liguria at karatig nito na gawa sa gatas ng tupa. Ang keso mula sa kambing ay bagong lasa sa Roma at pinauusukan para hindi maglasang gamot na katulad ng keso ng Gaul. Sa mga keso mula sa ibang dagat, paborito ni Pliny ang keso mula Bitania sa Asya Menor.",Tumitimbang ng libong libra 
Sino ang nagbasbas ng gusali noong 1985?,"Nagsimula ang pagtatayo ng mga gusali nito noong 1985, at noong Marso 2, 1985, binasbasan ito ng yumaong obispo ng Imus na si Felix Perez ang haligi ng unang gusali.",si Felix Perez ang haligi ng unang gusali
Ano ang pamagat ng bersiyon popular?,Lumitaw ang marauding bersiyon sa tagalog ng titik ng himno. Ang titik sa salitang Tagalog ay opisyal na isinalin noong panahon ng pananakop ng Jopon sa Filipinas. Ang bersiyon naging popular ay “O Sintang Lupa”. ,Ang bersiyon naging popular ay “O Sintang Lupa”. 
Sino ang naglikha ng medalya sa Olimpiko 2008?,Ang medalya na igagawad sa mga nagwagi sa Palarong Olimpiko 2008 ng Beijing ay pambihira sapagka't ang likod ng mga medalya ay may singsing ng ihada bilang sagisag ng pambansang kultura. Ang disenyo ay nilikha ni Propesor Hang Hai na inandukha ng Lupon ng Pagsasaayos ng Palarong Olimpiko 2008.,Ang disenyo ay nilikha ni Propesor Hang Hai
Ano ang palayaw ng istadyum ng Palarong Olimpiko sa Beijing?,"Ang puso ng Palarong Olimpiko 2008 ay nasa Pambansang Istadyum ng Beijing na may palayaw na ""Pugad ng Ibon"" dahil sa anyong pugad ng gusali. Nagsimulang itayo ang istadyum noong 24 Disyembre 2003.","""Pugad ng Ibon"""
Ano ang alkimiya?,"Ang alkimiya ay isang Nilayon nitong i-purify, i-mature, at i-perfect ang ilang m pilosopiko at protosiyentipikong kaugalian na kinasanayan sa buong Europa, Ehipto, at Asya. ga bagay.","nitong i-purify, i-mature, at i-perfect ang ilang m pilosopiko at protosiyentipikong kaugalian na kinasanayan sa buong Europa, Ehipto, at Asya. ga bagay."
Ano ang kayarian ng panlipunan?,"Ang kayariang panlipunan ng Pilipinas bago maging kolonya ay nagbibigay ng pantay na pagpapahalaga sa kahanayang maka-ina at maka-ama. Dahil sa pamamaraang ito, napagkalooban ang mga kababaihang Pilipino ng higit na kapangyarihan sa loob ng isang angkan.",nagbibigay ng pantay na pagpapahalaga sa kahanayang maka-ina at maka-ama
Saan nagtayo ng permanenteng tirahan?,"Nagtayo ng mga permanenteng paninirahan sa Cebu kasabay ng ekspedisyon ni Miguel López de Legazpi noong 1565, at marami pang mga paninirahan ang itinatag pa-hilaga hanggang sa maabot ng mga kolonyalista ang Look ng Maynila sa pulo ng Luzon.",sa Cebu kasabay ng ekspedisyon
Ano ang dating pangalan ng paliparan himpapawid ng Pilipinas?,"Ang dating pangalan  ng paliparan himpapawid ng pilipinas ay tinatawag na Manila International Airport, sa kasalukuyan ito ay Ninoy Aquino International Airport, pinalitan ito dahil dito binaril at namatay si Ninoy Aquino.",tinatawag na Manila International Airport
Sino ang pinakamahalagang artista sa sining sa Pilipinas?,Si Fernando Cueto Amorsolo ay isa sa mga pinakamahalagang artista ng sining sa Pilipinas. Si Amorsolo ay pintor ng mga larawan ng mga tao at tanawing pambaryo ng Pilipinas.,Si Fernando Cueto Amorsolo ay isa sa mga pinakamahalagang artista ng sining sa Pilipinas
Ano ang katangian ng keso?,"Magaan, siksik at naitatago ng matagal kaysa sa gatas kung saan ito nanggaling. Ang mga magkekeso ay nananahan sa pusod ng mga bakahan upang makinabang sa mura at sariwang gatas gayundin sa mababang gastos sa transportasyon nito.","Magaan, siksik at naitatago"
Sino ang kumalat ng paraan ng paggawa ng keso?,"Ikinalat ng Roma ang isang paraan nang paggawa ng keso sa halos buong Europa at ipinakilala ito sa mga lugar na walang kasaysayan nito. Nang papalubog ang Roma at bumabagsak ang malalayong kalakalan, lalong dumami ang klase ng keso kung saan maraming bayan ang naglunsad ng kani-kanilang kakaibang tradisyon sa paggawa ng keso.",Ikinalat ng Roma ang isang paraan 
Saan pinanganak si Amorsolo?,"Kilala siya sa kaniyang pagiging malikhain at pagkadalubhasa sa paggamit ng liwanag sa aspeto ng sining. Ipinanganak sa Paco, Maynila, nakatapos siya ng pag-aaral mula sa Paaralang Pansining ng Liseo ng Maynila noong 1909.","Ipinanganak sa Paco, Maynila"
Ano ang pinakamadaling gawin?,"Ang pinakamadali ay ang pagbibilang ng ganap na halaga ng mga piyesa ng magkabiláng panig. Ang mga puntong ginagamit ay ayon sa karanasan; ang mga kawal ay pamilang, mga kabalyero at obispo ay tigtatlong puntos, mga tore ay limang puntos (ang pagkakaiba sa puntos sa pagitan ng isang tore at isang obispo ay kilala bilang ang palitan), at mga reyna na may siyam na puntos.",pagbibilang ng ganap na halaga ng mga piyesa ng magkabiláng panig
Ano ang naibibigaw ng pinta ni Amorsolo?,"Sa simula ng dekada ng 1930, malawakang naitanghal ang mga gawa ni Amorsolo sa loob ng Pilipinas at maging sa ibang mga bansa. Ang mga larawan niyang nagbibigay ng diwa ng pag-asa at makakabukiran ang nagsimula sa takbo at gawi ng mga pintahin sa Pilipinas bago dumating ang Ikalawang Digmaang Pandaigdig.",diwa ng pag-asa at makakabukiran
Ilan ang kapasidad ng gusali?,"Ang gusali ay may kakayahang magpaupo ng 17,000 katao sa panahon ng laro na magbabawas sa 6,000 pagkatapos. Ito ay may kabuuang lawak na 65,000 at magsasaklaw ng kabuuan ng 7.8 akre (32,000 metrong parisukat)."," ng 17,000 katao"
Ano ang trabaho ng pinsan ng kanilang ina?,"Pagkaraang mamamatay ng kaniyang ama, lumipat si Amorsolo at ang kaniyang pamilya sa Maynila upang manirahan kasama ni Don Fabian de la Rosa, ang pinsan ng kaniyang ina at isang pintor sa Pilipinas.",at isang pintor sa Pilipinas
Ano ang katangian ng ibang keso?,"Kahit na sa mga lipunang may mahabang tradisyon sa keso, hindi karaniwang makatagpo ng tao na magsasabi na ang keso – lalo nang yaong may matatapang na amoy o napupuno ng amag tulad ng Limburger o Roquefort — di-malinamnam, di-masarap kainin o nakakasuklam.",may matatapang na amoy
Ano ang kadalasan nangyayari sa mga mahilig kumanta?,Karamihan sa mga mahilig kumanta ay sumasali sa patimpalak sa iba’t ibang panig ng mundo. Kadalasan ay naging matagumpay at naging kilala sila sa larangan ng pag aawit.,Kadalasan ay naging matagumpay at naging kilala sila sa larangan ng pag aawit.
Ano ang maskot ng Beijing 2008?,"Ang limang Fuwa ay mga maskot ng Beijing 2008, kumakatawan ang bawat isa kapwa sa isang kulay ng mga Singsing ng Olimpiko at bilang isang sagisag ng kalinangang Tsino. Tinatawag ng sawikaing pang-Olimpiko, ang Isang Daigidig, Isang Pangarap, ang sandaigdigan upang magkaisa sa kaluluwa ng Olimpiko.",Ang limang Fuwa ay mga maskot ng Beijing 2008
Ano ang hindi pinahihintulutan?,"Sa mga pamayanang rural, hindi pa rin pinapahintulutan ang mga Pilipina na maging masyadong liberal. Kailangan pa rin nilang impitin at itago ang kanilang mga katangian at seksuwalidad, at dapat na magpakita ng buong kawalan ng kagustuhan sa pakikisalamuha sa mga lalaki upang mapanatili ang reputasyon at paggalang sa sarili.",ang mga Pilipina na maging masyadong liberal
Ano ang hindi mainam at nakasirang gawain?,"Alinsunod sa kalinangan, tinatanaw ang paghihiwalay ng mag-asawa sa pamamagitan ng diborsiyo bilang isang hindi mainam at nakasisirang gawain sa Pilipinas, dahil sa isang kaugalian na nagbabanggit at nagbibigay diin na ang mag-anak ang pinakagitnang antas ng lipunan, natatangi na para sa asawang babaeng Pilipino.",ng diborsiyo bilang isang hindi mainam
Ano ang isa sa layunin ng dalubhasa sa kompyuter?,"Isa sa mga layunin ng mga naunang dalubhasa sa kompyuter ang paglikha ng makinang nakapaglalaro ng ahedres, ang pangkasalukuyang larong ahederes ay lubhang naimpluho ng mga kakayahan ng mga pangsangayong programa ng ahedres at ng kakayahan ng pakikipaglaro sa Internet.",paglikha ng makinang nakapaglalaro ng ahedres
Bakit sinasabi na marumi ang politika?,"Pangunahing dahil ito sa itinuturing na marumi ang pakikilahok sa politika, at dahil sa nakaugaliang diwa na nagsasabing hindi maaaring magkaroon ng mga tungkulin ang mga babae na mas mataas kesa sa kanilang mga asawang lalaki. Ngunit nagbabago rin ang ideyang kabilang lamang ang mga babae sa tahanan, sa simbahan, o sa kumbento.",dahil sa nakaugaliang diwa na nagsasabing hindi maaaring magkaroon ng mga tungkulin ang mga babae na mas mataas kesa sa kanilang mga asawang lalaki
Kailan nagsimula ang dalawang organisasyon?,"Simula noong ika-20 siglo, dalawang organisasyong pang-internasyunal, ang Pederasyong Pandaigdig ng Ahedres at ang Pederasyon ng Ugnayang Pang-internasyunal na Pang-ahedres ang nagtatag at namahala sa mga pangunahing paligsahan sa ahdres at mga titulong pang-internasyonal.",Simula noong ika-20 siglo
Ano ang hugis ng sungay sa pinakapuno?,"Mga lapad na kapatagan ang mga sungay at tatlusok ang hugis sa pinakapuno. Dahil sa palagian pagkiskis, may gasgas ang panlabas na anyo ang mga sungay ng tamaraw ngunit may magaspang na panloob na mga gilid. Sinasabing may habang mga 35.5 hanggang 51.0 sentimetro ang mga sungay.",Mga lapad na kapatagan ang mga sungay at tatlusok ang hugis sa pinakapuno.
Nakatanggap ba ng rekomendasyon si garcia?,Sinabi rin ni Garcia na walang anumang recommendation letter na natatanggap ang kanyang tanggapan para sa paglalagay ng vaccination centers para sa mga botante sa araw ng halalan.,Sinabi rin ni Garcia na walang anumang recommendation letter na natatanggap 
Saan makikita nag mga larawan?,"At pareho pa rin namang makikita ang mga photo nila sa kanilang mga Instagram. Kumbaga, walang burahan, na isa pa nga sa ginagamit na basehan ng mga ‘marites’ kapag hiwalay na ang magdyowa.",sa kanilang mga Instagram
Ano ang dahilan kung bakit malaki ang populasyon ng bansang Pilipinas?,"Maraming dahilan kung bakit  malaki ang populasyon ng bansang Pilipinas,isa na dito ang walang birth control at dahil sa paniniwala na ang mga anak ay biyaya mula sa panginoon.",walang birth control at dahil sa paniniwala na ang mga anak ay biyaya mula sa panginoon.
Paano ginagawa ang keso?,Maaaring nagsimula ang paggawa ng keso upang maitago ang maasim at kultadong gatas sa pamamagitan ng pagpiga at pag-aasin nito kung saan ang kuwaho ay idinagdag sa dakong huli at mapansing ang kesong sinamahan ng tiyan ng hayop ay mas matigas at maganda ang pagkakulta.,ng pagpiga at pag-aasin
Saan inihahambing ang mga kababaiyahan?,"Dito sa balangkas na ito - na may kayariang pangkahanayan, pagkakaiba-ibang antas sa lipunan, kadahilanang makapananampalataya, at pamumuhay sa isang umuunlad na bansa ng mundo - nakikibaka ang mga kababaihang Pilipino. Kung ihahambing sa ibang mga bahagi ng Timog-silangang Asya, palagiang nakakatamasa ng mas malaking antas ng kapantayang makabatas ang mga kababaihang nasa lipunan ng Pilipinas.",ibang mga bahagi ng Timog-silangang Asya
Anu ano ang pangalan ng limang Fuwa?,"Ang Fuwa bawat ay may kanilang pangunahing kulay, isa sa mga kulay ng limang Singsing ng Olimpiko. Ang mga limang Fuwa ay nagngangalang Beibei, Jingjing, Huanhuan, Yingying, at Nini.","Beibei, Jingjing, Huanhuan, Yingying, at Nini"
Ano ang magkatulad na sa palantandaan?,Katulad ng sa Anoa Bubalus depressicornis ang mga palatandaang ito. Magkatulad ng kulay ang mukha at katawan. Karamihan sa mga kasapi ng sari ang mayroon magkatambal na mga abuhing-puting guhit na nagsisimula mula sa panloob na sulok ng mata hanggang sa mga sungay. May maitim na balat ang ilong at mga labi. ,Magkatulad ng kulay ang mukha at katawan
Anu-ano ang ang kasangkapan ng pinakbit?,"Maraming uri ng pagkain ang matitikman sa bansang Pilipinas. Subalit Pinakbit ang pina masarap sa lahat. Ito ay may kasangkapan na talong,sitaw,kamatis,okra,kalabasa, baboy, at bawang.","Ito ay may kasangkapan na talong,sitaw,kamatis,okra,kalabasa, baboy, at bawang."
